SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2
,beach,-0.04,0.01,0.1,0.19,0.09,N/A,0.19,0.27,-0.02,0.29,1,0.06,0.22,0.14,0.03,0.05,0.07,0.19,0.08,0.27,0.121666667,0.123333333,0.12,,,,
,Wilmington,-0.04,0.02,-0.01,0.04,-0.01,N/A,-0.01,0.02,0.03,0.03,0.06,1,0.03,-0.01,0.05,0,-0.04,0.15,0.01,0.02,0.018888889,0.02625,0.013,,,,
,blue sky,0.02,0.08,0.12,0.18,0.18,N/A,0.51,0.15,0.09,0.25,0.22,0.03,1,0.2,0.13,0.06,0.09,0.25,0.29,0.15,0.166666667,0.167142857,0.166363636,,,,
,kite,0.08,0,-0.04,-0.04,-0.1,N/A,0.06,-0.01,-0.02,0.09,0.14,-0.01,0.2,1,0.02,-0.01,0.02,0.09,0.08,-0.01,0.03,0.031666667,0.029166667,,,,
,field,-0.02,0.09,0.13,0.11,0.02,N/A,0.1,0.05,0.01,0.06,0.03,0.05,0.13,0.02,1,0.4,0.24,0.17,0.09,0.05,0.096111111,0.19,0.06,,,,
,football,0.01,0.04,0.11,0.21,0.09,N/A,0.03,0.02,0.04,0.12,0.05,0,0.06,-0.01,0.4,1,0.35,0.14,0.12,0.02,0.1,0.1575,0.083571429,,,,
,practice,0,0.02,0.07,0.03,0.07,N/A,0.05,0.06,0.04,0.13,0.07,-0.04,0.09,0.02,0.24,0.35,1,0.24,0.16,0.06,0.092222222,0.153333333,0.08,,,,
,stand,0.08,0.15,0.21,0.29,0.25,N/A,0.17,0.15,0.14,0.26,0.19,0.15,0.25,0.09,0.17,0.14,0.24,1,0.22,0.15,0.183333333,0.185,0.183125,,,,
,band,0,0.04,0.1,0.25,0.08,N/A,0.21,0.08,0.06,0.16,0.08,0.01,0.29,0.08,0.09,0.12,0.16,0.22,1,0.08,0.117222222,0.08,0.119411765,,,,
,water,0.07,0.11,0.08,0.11,0.13,N/A,0.2,1,0.22,0.44,0.27,0.02,0.15,-0.01,0.05,0.02,0.06,0.15,0.08,1,0.175,,0.175,,,,
,,,,,,,,,,,,,,,,,,,,,,0.123450292,0.126882232,0.149662909,,,,
2,Document,toaster,hot,beach,ocean,shark,bite,lip tattoos,ink,art,Olivia,flowers,spring,green,broccoli,gross,inside out,movie theater,popcorn,chocolate,yum,,,,,,,3
,toaster,1,0.17,-0.04,0,-0.04,0.06,0.01,-0.04,0,-0.03,0.02,0.02,0.04,0.08,0.01,0.17,0.05,0.15,0.13,-0.02,0.038947368,0.038947368,,0.197368421,0.087222222,0.078823529,
,hot,0.17,1,0.14,0.09,0.02,0.18,0.11,0.06,0.04,0.04,0.08,0.15,0.15,0.07,0.03,0.34,0.09,0.28,0.29,0.15,0.130526316,0.128333333,0.17,,,,
,beach,-0.04,0.14,1,0.31,0.14,0.1,0.07,0.02,0.02,-0.04,0.11,0.13,0.18,-0.03,0.05,0.18,0.02,0.11,0.02,0.03,0.08,0.083529412,0.05,,,,
