p_id,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
1,toaster,bread,sandwich,cafe,coffee,starbucks,green straws,water,ice,pool,beach,wilmington,blue sky,kite,field,football,practice,stand,band,water
2,toaster,hot,beach,ocean,shark,bite,lip tattoos,ink,art,olivia,flowers,spring,green,broccoli,gross,inside out,movie theater,popcorn,chocolate,yum
3,toaster,bread,bread,butter,peanuts,walnuts,walmart,shopper,cashier,bellhop,hotel,tipton,london,mosby,disney,star wars,wookiee,r2d2,droid,apple
4,toaster,bread,white,people,fingers,pen,blue,sky,clouds,thoughts,meditation,mantra,relaxation,eyes,head,brain,pink,majin buu,fighting,man
5,toaster,toast,bread,butter,milk,cow,farm,animals,nature,outdoors,trees,gardening,leaves,green,kermit,muppets,kids,summer camp,museum,programs
