SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,round,0.22,0.21,0.34,0.03,0.12,0.19,0.08,0.35,1,0.31,0.13,0.3,0.13,0.22,0.06,0.29,0.09,0.16,0.26,0.07,0.187368421,0.183636364,0.1925,,,,
,square,0.19,0.23,0.32,0.04,0.15,0.28,0.08,0.25,0.31,1,0.21,0.2,0.08,0.15,0.12,0.15,0.06,0.1,0.19,0.08,0.167894737,0.134,0.205555556,,,,
,plastic,0.09,0.39,0.13,0.01,0.54,0.31,0.1,0.2,0.13,0.21,1,0.03,0.05,0.08,0.01,0.07,0.05,0.04,0.14,0.08,0.14,0.061111111,0.211,,,,
,dinner,0.57,0.11,0.24,0.12,0.01,0.02,0.04,0.43,0.3,0.2,0.03,1,0.44,0.18,0.13,0.39,0.23,0.35,0.61,0.46,0.255789474,0.34875,0.188181818,,,,
,eating,0.25,0.06,0.24,-0.02,0.03,0.01,0.05,0.16,0.13,0.08,0.05,0.44,1,0.19,0.11,0.14,0.12,0.19,0.22,0.29,0.144210526,0.18,0.123333333,,,,
,gathering,0.07,0.18,0.17,0.05,0.05,0.03,0.17,0.13,0.22,0.15,0.08,0.18,0.19,1,0.3,0.17,0.09,0.12,0.13,0.07,0.134210526,0.146666667,0.128461538,,,,
,communal,0.08,0.08,0.11,0.23,0,0.02,0.18,0.17,0.06,0.12,0.01,0.13,0.11,0.3,1,-0.01,0.36,0.12,0.02,0.08,0.114210526,0.114,0.114285714,,,,
,talking,0.21,0.11,0.24,-0.04,0.04,0.03,0.02,0.29,0.29,0.15,0.07,0.39,0.14,0.17,-0.01,1,0.16,0.42,0.19,0.11,0.156842105,0.22,0.14,,,,
,family,0.12,0.04,0.21,0.23,0.03,-0.01,0.17,0.18,0.09,0.06,0.05,0.23,0.12,0.09,0.36,0.16,1,0.33,0.07,0.16,0.141578947,0.186666667,0.133125,,,,
,friends,0.18,0.05,0.21,0.17,0.02,0.04,0.15,0.22,0.16,0.1,0.04,0.35,0.19,0.12,0.12,0.42,0.33,1,0.15,0.16,0.167368421,0.155,0.168823529,,,,
,tablecloth,0.64,0.13,0.14,0.17,0.06,0.06,0.03,0.47,0.26,0.19,0.14,0.61,0.22,0.13,0.02,0.19,0.07,0.15,1,0.47,0.218421053,0.47,0.204444444,,,,
,silverware,0.39,0.03,0.14,0.06,0.02,-0.03,0.01,0.33,0.07,0.08,0.08,0.46,0.29,0.07,0.08,0.11,0.16,0.16,0.47,1,0.156842105,,0.156842105,,,,
,,,,,,,,,,,,,,,,,,,,,,0.159263158,0.178485758,0.156251137,,,,
103,Document,Table,chair,plate,light,wood,homework,food,kitchen,mom,house,home,dorm,pictures,placemat,program,pit,activism,union,rolling,legs,,,,,,,0
,Table,1,0.61,0.32,0.08,0.15,0.18,0.08,0.58,0.1,0.14,0.13,0.15,0.07,0.32,0.03,0.06,0.04,0.01,0.13,0.1,0.172631579,0.172631579,,0.144210526,0.121111111,0.111176471,
