p_id,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
101,table,chair,air,fair,bus,test,west,best,vest,suit,pants,button,mutton,lamb,cranberry,molasses,margarine,butter,biscuit,ham
102,table,wood,four-legged,craftmanship,metal,screws,support,chairs,round,square,plastic,dinner,eating,gathering,communal,talking,family,friends,tablecloth,silverware
103,table,chair,plate,light,wood,homework,food,kitchen,mom,house,home,dorm,pictures,placemat,program,pit,activism,union,rolling,legs
104,table,apple,chair,rug,dog,candle stick,forte,spoon,knife,family,happy,mom,dad,sister,salad,fruit,vegetables,hungry,full,happy
105,table,back,grind,pass,elevate,door,open,watch,stop,beginning,end,next,top,corridor,shay,wrists,board,write,continue,last
